latitude,longitude,floorSize,url,price,date
30.218327,-97.693886,"1,723",https://www.zillow.com/homedetails/2307-Capulet-St-Austin-TX-78741/145655645_zpid/,"$2,450",1606802400.0
30.231592,-97.775833,"1,028",https://www.zillow.com/homedetails/3810-Southway-Dr-103-Austin-TX-78704/2077144728_zpid/,"$282,000",1606802400.0
30.291227,-97.641719,,https://www.zillow.com/homedetails/6108-Toscana-Ave-Austin-TX-78724/306647399_zpid/,"$489,900",1606802400.0
30.351445,-97.734887,"2,830",https://www.zillow.com/homedetails/7505-Daugherty-St-Austin-TX-78757/29420303_zpid/,"$565,000",1606802400.0
30.368575,-97.760732,"1,382",https://www.zillow.com/homedetails/4109-Ridgeline-Dr-V-Austin-TX-78731/29356387_zpid/,"$375,000",1606802400.0
30.408228,-97.690155,"2,511",https://www.zillow.com/homedetails/12317-Cedar-Bend-Cv-Austin-TX-78758/80090387_zpid/,"$565,000",1606802400.0
30.160575,-97.639084,"1,992",https://www.zillow.com/homedetails/6801-Panda-Royal-Dr-Del-Valle-TX-78617/80093853_zpid/,"$241,300",1606716000.0
30.150042,-97.807212,"1,540",https://www.zillow.com/homedetails/10912-Colonel-Winn-Loop-Austin-TX-78748/58317622_zpid/,"$350,250",1606716000.0
30.253876,-97.776573,"3,302",https://www.zillow.com/homedetails/1904-Paramount-Ave-Austin-TX-78704/29322500_zpid/,$2.90M,1606716000.0
30.342258,-97.73479,"1,614",https://www.zillow.com/homedetails/1910-Redlands-St-Austin-TX-78757/29417043_zpid/,"$700,000",1606716000.0
30.437391,-97.742482,"1,493",https://www.zillow.com/homedetails/12906-Coridan-Dr-Austin-TX-78727/29447143_zpid/,"$374,900",1606716000.0
30.196622,-97.819284,"1,856",https://www.zillow.com/homedetails/7904-Keswick-Dr-Austin-TX-78745/29498148_zpid/,"$545,000",1606716000.0
30.238951,-97.719018,"1,757",https://www.zillow.com/homedetails/1416-Waterloo-Shore-Ln-3-Austin-TX-78741/241937764_zpid/,"$548,000",1606716000.0
30.363388,-97.689975,974,https://www.zillow.com/homedetails/9608-N-Creek-Dr-Austin-TX-78753/29427772_zpid/,"$152,500",1606716000.0
30.337578,-97.878888,"3,559",https://www.zillow.com/homedetails/10408-Jennys-Jump-Dr-Austin-TX-78733/29345291_zpid/,$1.10M,1606716000.0
30.196778,-97.693696,"1,452",https://www.zillow.com/homedetails/3809-Bronco-Bend-Loop-Austin-TX-78744/79982315_zpid/,"$303,000",1606716000.0
30.413266,-97.643128,"1,359",https://www.zillow.com/homedetails/13903-Stripling-Ln-18-Pflugerville-TX-78660/241936607_zpid/,"$278,000",1606629600.0
